sepal_length,sepal_width,petal_length,petal_width,species_predicter,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0235,0.8781,0.0983
6.9,3.1,5.1,2.3,virginica,0.0001,0.0664,0.9335
5.1,2.5,3.0,1.1,versicolor,0.1338,0.854,0.0122
4.4,2.9,,0.2,setosa,0.6598,0.3396,0.0006
5.9,3.0,5.1,1.8,virginica,0.0046,0.3198,0.6756
5.5,3.5,1.3,0.2,setosa,0.9611,0.0389,0.0
5.6,,3.6,1.3,versicolor,0.1295,0.8321,0.0384
6.5,3.0,5.2,2.0,virginica,0.0006,0.1569,0.8426
5.3,3.7,1.5,0.2,setosa,0.9824,0.0176,0.0
5.1,3.4,1.5,,setosa,0.8827,0.117,0.0003
6.1,2.8,4.0,1.3,versicolor,0.0224,0.8939,0.0836
5.5,2.4,3.7,1.0,versicolor,0.0343,0.9407,0.025
7.7,3.0,6.1,2.3,virginica,0.0,0.0169,0.9831
6.9,3.1,4.9,1.5,versicolor,0.004,0.6502,0.3458
6.0,2.2,5.0,1.5,virginica,0.0007,0.4716,0.5277
