sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0093,0.9316,0.0591
6.9,3.1,5.1,2.3,virginica,0.0102,0.0109,0.9789
5.1,2.5,3.0,1.1,versicolor,0.0254,0.9461,0.0285
4.4,2.9,,0.2,setosa,0.4658,0.3833,0.1509
5.9,3.0,5.1,1.8,virginica,0.0128,0.1981,0.7892
5.5,3.5,1.3,0.2,setosa,0.9402,0.0332,0.0266
5.6,,3.6,1.3,versicolor,0.0316,0.9565,0.0119
6.5,3.0,5.2,2.0,virginica,0.0092,0.0296,0.9611
5.3,3.7,1.5,0.2,setosa,0.9463,0.0281,0.0256
5.1,3.4,1.5,,setosa,0.6826,0.2257,0.0917
6.1,2.8,4.0,1.3,versicolor,0.0125,0.9733,0.0142
5.5,2.4,3.7,1.0,versicolor,0.0142,0.9627,0.0231
7.7,3.0,6.1,2.3,virginica,0.0123,0.0113,0.9764
6.9,3.1,4.9,1.5,versicolor,0.0161,0.7702,0.2137
6.0,2.2,5.0,1.5,virginica,0.0172,0.1957,0.7871
